total_rewards,action_rewards,opinion_rewards,social_trust_sp0,social_trust_sp1,social_trust_sp2,request_rate_sp0,request_rate_sp1,request_rate_sp2,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,availability_sp0,availability_sp1,availability_sp2
119578.0,60417.0,59161.0,0.0,0.0,0.0,37.112,22.824,40.064,0.862,34.518,0.026,22.222,0.028,42.344,0.8797693468419918,0.8328951980371538,0.8702076677316294
118030.0,58798.0,59232.0,0.0,0.0,0.0,37.048,22.838,40.114,0.944,34.362,0.034,22.36,0.04,42.26,0.8446879723601813,0.8797618005079254,0.834770902926659
117785.0,58978.0,58807.0,0.0,0.0,0.0,37.094,22.85,40.056,1.022,34.352,0.02,22.244,0.022,42.34,0.857281501051383,0.8182056892778994,0.8615438386259237
120236.0,60833.0,59403.0,0.0,0.0,0.0,37.042,22.832,40.126,0.872,34.58,0.024,22.128,0.036,42.36,0.8510339614491658,0.8875262789067975,0.8735981657777999
118615.0,59695.0,58920.0,0.0,0.0,0.0,37.026,22.812,40.162,0.946,34.336,0.026,22.31,0.024,42.358,0.8405444822557122,0.8452568823426266,0.8799362581544744
116208.0,57428.0,58780.0,0.0,0.0,0.0,37.146,22.82,40.034,0.898,34.162,0.024,22.426,0.034,42.456,0.8157002099822322,0.8508326029798422,0.8432332517360244
120064.0,60799.0,59265.0,0.0,0.0,0.0,37.15,22.794,40.056,0.91,34.44,0.014,22.318,0.032,42.286,0.8829609690444146,0.8658418882161972,0.8553525064909128
119686.0,60289.0,59397.0,0.0,0.0,0.0,37.026,22.828,40.146,0.9,34.406,0.022,22.374,0.036,42.262,0.8627991141360125,0.8202207814964079,0.8897025855626962
120741.0,61378.0,59363.0,0.0,0.0,0.0,37.11,22.794,40.096,0.942,34.452,0.022,22.374,0.02,42.19,0.8817569388305039,0.8548740896727209,0.8779928172386273
121056.0,61523.0,59533.0,0.0,0.0,0.0,37.066,22.832,40.102,0.98,34.33,0.01,22.31,0.024,42.346,0.9025522041763341,0.8740364400840925,0.8505311455787741
121748.0,61951.0,59797.0,0.0,0.0,0.0,37.048,22.792,40.16,0.924,34.532,0.008,22.398,0.028,42.11,0.8911682142085943,0.8395928395928396,0.8923306772908367
115787.0,56983.0,58804.0,0.0,0.0,0.0,37.05,22.826,40.124,0.974,34.484,0.03,22.254,0.026,42.232,0.7957354925775978,0.8326469815123105,0.8608812680689861
117721.0,58683.0,59038.0,0.0,0.0,0.0,37.02,22.812,40.168,0.842,34.588,0.024,22.082,0.036,42.428,0.8475958941112912,0.850867964229353,0.8463951404102769
121130.0,61708.0,59422.0,0.0,0.0,0.0,37.104,22.824,40.072,0.888,34.29,0.014,22.33,0.042,42.436,0.8752156101768004,0.8843322818086226,0.8776202834897185
114502.0,56117.0,58385.0,0.0,0.0,0.0,37.008,22.796,40.196,0.95,34.51,0.014,22.196,0.036,42.294,0.8138240380458279,0.8356729250745745,0.8215742859986068
120731.0,61510.0,59221.0,0.0,0.0,0.0,37.064,22.798,40.138,0.922,34.434,0.036,22.328,0.028,42.252,0.8481005827757393,0.8816562856390912,0.899247595794509
119373.0,60269.0,59104.0,0.0,0.0,0.0,37.104,22.802,40.094,0.958,34.53,0.02,22.202,0.034,42.256,0.8703104786545925,0.860626260854311,0.8588816281737915
118715.0,59374.0,59341.0,0.0,0.0,0.0,37.038,22.838,40.124,0.98,34.618,0.022,22.318,0.042,42.02,0.8581456882121065,0.8231018477975305,0.8686073173163195
118754.0,59835.0,58919.0,0.0,0.0,0.0,37.048,22.83,40.122,0.942,34.28,0.01,22.352,0.026,42.39,0.871841934787303,0.843539202803329,0.8557399930212851
119621.0,60456.0,59165.0,0.0,0.0,0.0,37.04,22.824,40.136,0.916,34.604,0.026,22.13,0.028,42.296,0.875377969762419,0.8197511391517701,0.8811042455650787
116173.0,57309.0,58864.0,0.0,0.0,0.0,37.012,22.844,40.144,0.954,34.53,0.014,22.212,0.014,42.276,0.8254079757916352,0.8524776746629312,0.8297130330809087
119599.0,60501.0,59098.0,0.0,0.0,0.0,37.09,22.792,40.118,0.998,34.378,0.008,22.284,0.036,42.296,0.8875707737934754,0.8537206037206038,0.8506904631337554
120214.0,60769.0,59445.0,0.0,0.0,0.0,37.076,22.81,40.114,0.924,34.34,0.018,22.466,0.03,42.222,0.8602330348473406,0.8790881192459448,0.8713666051752506
119419.0,60181.0,59238.0,0.0,0.0,0.0,37.116,22.79,40.094,0.886,34.546,0.016,22.262,0.022,42.268,0.8734777454467076,0.8670469504168495,0.851199680750237
120453.0,61053.0,59400.0,0.0,0.0,0.0,37.108,22.814,40.078,0.908,34.556,0.03,22.394,0.032,42.08,0.8876792066400776,0.8710440957306916,0.8553321024003194
117545.0,58431.0,59114.0,0.0,0.0,0.0,37.104,22.86,40.036,0.922,34.422,0.016,22.448,0.024,42.168,0.8640577835273825,0.8124234470691164,0.8450894195224298
119103.0,59929.0,59174.0,0.0,0.0,0.0,37.02,22.812,40.168,0.842,34.588,0.024,22.082,0.036,42.428,0.8532144786601837,0.8010696124846572,0.9005178251344353
118776.0,59496.0,59280.0,0.0,0.0,0.0,37.106,22.82,40.074,0.888,34.29,0.014,22.328,0.044,42.436,0.8605616342370506,0.8427695004382121,0.8597095373558916
117224.0,58231.0,58993.0,0.0,0.0,0.0,37.008,22.796,40.196,0.95,34.51,0.014,22.196,0.034,42.296,0.85473411154345,0.7986488857694333,0.8574982585331874
121227.0,61840.0,59387.0,0.0,0.0,0.0,37.062,22.8,40.138,0.922,34.434,0.036,22.328,0.028,42.252,0.8641195834007879,0.8893859649122807,0.8882854153171558
114727.0,56165.0,58562.0,0.0,0.0,0.0,37.104,22.802,40.094,0.958,34.53,0.02,22.202,0.034,42.256,0.8007761966364813,0.8090518375581089,0.8502020252406844
117800.0,58692.0,59108.0,0.0,0.0,0.0,37.038,22.838,40.124,0.98,34.618,0.022,22.318,0.042,42.02,0.8254225390139857,0.8541903844469744,0.8640713787259495
118898.0,59839.0,59059.0,0.0,0.0,0.0,37.048,22.83,40.122,0.942,34.28,0.01,22.352,0.026,42.39,0.8760526884042323,0.8256679807271134,0.8621205323762524
116642.0,57738.0,58904.0,0.0,0.0,0.0,37.038,22.826,40.136,0.916,34.604,0.026,22.13,0.028,42.296,0.8492359198660835,0.8407955839831771,0.8254933227028104
117645.0,58901.0,58744.0,0.0,0.0,0.0,37.014,22.838,40.148,0.954,34.532,0.012,22.212,0.014,42.276,0.8822067325876696,0.8365005692267273,0.8260436385374116
118067.0,58949.0,59118.0,0.0,0.0,0.0,37.09,22.792,40.118,0.998,34.378,0.008,22.284,0.036,42.296,0.8736047452143435,0.8473148473148473,0.8285557605065058
121576.0,62063.0,59513.0,0.0,0.0,0.0,37.076,22.812,40.112,0.924,34.34,0.018,22.466,0.028,42.224,0.8729636422483548,0.8908469226722777,0.8851715197447148
116996.0,58237.0,58759.0,0.0,0.0,0.0,37.114,22.792,40.094,0.886,34.546,0.016,22.262,0.022,42.268,0.8297138546101201,0.8631976131976132,0.8453633960193545
119509.0,60393.0,59116.0,0.0,0.0,0.0,37.108,22.814,40.078,0.908,34.556,0.03,22.394,0.032,42.08,0.8465021019726204,0.8373805557990708,0.8961525026198912
118550.0,59215.0,59335.0,0.0,0.0,0.0,37.104,22.862,40.034,0.922,34.422,0.016,22.448,0.024,42.168,0.8433053040103493,0.8651911468812877,0.8537243343158315
117444.0,58513.0,58931.0,0.0,0.0,0.0,37.02,22.814,40.166,0.842,34.588,0.024,22.082,0.036,42.428,0.8351701782820097,0.8804243008678881,0.8368769606134542
