"recon","cyber","disinfo","comb","cyber2","disinfo2","step"
0,0,0,0,0,0,0
200,0,23,8,0,58,1
200,0,23,8,0,58,2
200,0,23,8,0,58,3
200,0,23,8,0,58,4
200,0,23,8,0,58,5
200,0,23,8,0,58,6
200,0,23,8,0,58,7
200,0,23,8,0,58,8
200,0,23,8,0,58,9
200,0,23,8,0,58,10
200,0,23,8,0,58,11
200,0,23,8,0,58,12
200,0,23,8,0,58,13
200,0,23,8,0,58,14
200,0,23,8,0,58,15
200,0,23,8,0,58,16
200,0,23,8,0,58,17
200,0,23,8,0,58,18
200,0,23,8,0,58,19
200,0,23,8,0,58,20
200,0,23,8,0,58,21
200,0,23,8,0,58,22
200,0,23,8,0,58,23
200,0,23,8,0,58,24
200,0,23,8,0,58,25
200,0,23,8,0,58,26
200,0,23,8,0,58,27
200,0,23,8,0,58,28
200,0,23,8,0,58,29
200,0,23,8,0,58,30
200,0,23,8,0,58,31
200,0,23,8,0,58,32
200,0,23,8,0,58,33
200,0,23,8,0,58,34
200,0,23,8,0,58,35
200,0,23,8,0,58,36
200,0,23,8,0,58,37
200,0,23,8,0,58,38
200,0,23,8,0,58,39
200,0,23,8,0,58,40
200,0,23,8,0,58,41
200,0,23,8,0,58,42
200,0,23,8,0,58,43
200,0,23,8,0,58,44
200,0,23,8,0,58,45
200,0,23,8,0,58,46
200,0,23,8,0,58,47
200,0,23,8,0,58,48
200,0,23,8,0,58,49
200,0,23,8,0,58,50
200,0,23,8,0,58,51
200,0,23,8,0,58,52
200,0,23,8,0,58,53
200,0,23,8,0,58,54
200,0,23,8,0,58,55
200,0,23,8,0,58,56
200,0,23,8,0,58,57
200,0,23,8,0,58,58
200,0,23,8,0,58,59
200,0,23,8,0,58,60
200,0,23,8,0,58,61
200,0,23,8,0,58,62
200,0,23,8,0,58,63
200,0,23,8,0,58,64
200,0,23,8,0,58,65
200,0,23,8,0,58,66
200,0,23,8,0,58,67
200,0,23,8,0,58,68
200,0,23,8,0,58,69
200,0,23,8,0,58,70
200,0,23,8,0,58,71
200,0,23,8,0,58,72
200,0,23,8,0,58,73
200,0,23,8,0,58,74
200,0,23,8,0,58,75
200,0,23,8,0,58,76
200,0,23,8,0,58,77
200,0,23,8,0,58,78
200,0,23,8,0,58,79
200,0,23,8,0,58,80
200,0,23,8,0,58,81
200,0,23,8,0,58,82
200,0,23,8,0,58,83
200,0,23,8,0,58,84
200,0,23,8,0,58,85
200,0,23,8,0,58,86
200,0,23,8,0,58,87
200,0,23,8,0,58,88
200,0,23,8,0,58,89
200,0,23,8,0,58,90
200,0,23,8,0,58,91
200,0,23,8,0,58,92
200,0,23,8,0,58,93
200,0,23,8,0,58,94
200,0,23,8,0,58,95
200,0,23,8,0,58,96
200,0,23,8,0,58,97
200,0,23,8,0,58,98
200,0,23,8,0,58,99
200,0,23,8,0,58,100
