total_rewards,recon_rewards,cyber_attack_rewards,disinfo_rewards, term_rewards,loss1_history,loss2_history,loss3_history
5298.0,2000.0,3088.0,390.0,-10.0,0.0,0.0,0.0
4019.0,2000.0,1819.0,380.0,-10.0,0.0,0.0,0.0
3877.0,2000.0,1677.0,380.0,-10.0,0.0,0.0,0.0
5082.0,2000.0,2932.0,330.0,-10.0,0.0,0.0,0.0
3727.0,2000.0,1527.0,380.0,-10.0,0.0,0.0,0.0
3995.0,2000.0,1825.0,350.0,-10.0,0.0,0.0,0.0
4843.0,2000.0,2673.0,350.0,-10.0,0.0,0.0,0.0
3828.0,2000.0,1618.0,390.0,-10.0,0.0,0.0,0.0
4189.0,2000.0,1989.0,380.0,-10.0,0.0,0.0,0.0
5356.0,2000.0,3156.0,380.0,-10.0,0.0,0.0,0.0
3672.0,2000.0,1532.0,320.0,-10.0,0.0,0.0,0.0
3936.0,2000.0,1736.0,380.0,-10.0,0.0,0.0,0.0
5905.0,2000.0,3725.0,360.0,-10.0,0.0,0.0,0.0
3943.0,2000.0,1763.0,360.0,-10.0,0.0,0.0,0.0
7648.0,2000.0,5428.0,400.0,-10.0,0.0,0.0,0.0
4359.0,2000.0,2159.0,380.0,-10.0,0.0,0.0,0.0
3507.0,2000.0,1307.0,380.0,-10.0,0.0,0.0,0.0
8472.0,2000.0,6332.0,320.0,-10.0,0.0,0.0,0.0
9907.0,2000.0,7707.0,380.0,-10.0,0.0,0.0,0.0
7805.0,2000.0,5635.0,350.0,-10.0,0.0,0.0,0.0
4653.0,2000.0,2473.0,360.0,-10.0,0.0,0.0,0.0
4998.0,2000.0,2788.0,390.0,-10.0,0.0,0.0,0.0
5240.0,2000.0,3040.0,380.0,-10.0,0.0,0.0,0.0
5337.0,2000.0,3137.0,380.0,-10.0,0.0,0.0,0.0
4545.0,2000.0,2405.0,320.0,-10.0,0.0,0.0,0.0
5217.0,2000.0,3017.0,380.0,-10.0,0.0,0.0,0.0
5605.0,2000.0,3425.0,360.0,-10.0,0.0,0.0,0.0
3543.0,2000.0,1373.0,350.0,-10.0,0.0,0.0,0.0
4748.0,2000.0,2538.0,390.0,-10.0,0.0,0.0,0.0
4139.0,2000.0,1939.0,380.0,-10.0,0.0,0.0,0.0
7926.0,2000.0,5726.0,380.0,-10.0,0.0,0.0,0.0
4902.0,2000.0,2752.0,330.0,-10.0,0.0,0.0,0.0
5907.0,2000.0,3707.0,380.0,-10.0,0.0,0.0,0.0
4445.0,2000.0,2275.0,350.0,-10.0,0.0,0.0,0.0
4993.0,2000.0,2823.0,350.0,-10.0,0.0,0.0,0.0
9988.0,2000.0,7778.0,390.0,-10.0,0.0,0.0,0.0
5760.0,2000.0,3550.0,390.0,-10.0,0.0,0.0,0.0
4007.0,2000.0,1797.0,390.0,-10.0,0.0,0.0,0.0
6112.0,2000.0,3962.0,330.0,-10.0,0.0,0.0,0.0
5391.0,2000.0,3191.0,380.0,-10.0,0.0,0.0,0.0
3725.0,2000.0,1555.0,350.0,-10.0,0.0,0.0,0.0
4973.0,2000.0,2793.0,360.0,-10.0,0.0,0.0,0.0
4368.0,2000.0,2158.0,390.0,-10.0,0.0,0.0,0.0
4339.0,2000.0,2139.0,380.0,-10.0,0.0,0.0,0.0
5027.0,2000.0,2827.0,380.0,-10.0,0.0,0.0,0.0
4422.0,2000.0,2272.0,330.0,-10.0,0.0,0.0,0.0
5187.0,2000.0,2987.0,380.0,-10.0,0.0,0.0,0.0
4165.0,2000.0,1985.0,360.0,-10.0,0.0,0.0,0.0
7083.0,2000.0,4903.0,360.0,-10.0,0.0,0.0,0.0
4948.0,2000.0,2738.0,390.0,-10.0,0.0,0.0,0.0
5119.0,2000.0,2919.0,380.0,-10.0,0.0,0.0,0.0
4937.0,2000.0,2737.0,380.0,-10.0,0.0,0.0,0.0
5792.0,2000.0,3652.0,320.0,-10.0,0.0,0.0,0.0
5707.0,2000.0,3507.0,380.0,-10.0,0.0,0.0,0.0
4225.0,2000.0,2055.0,350.0,-10.0,0.0,0.0,0.0
5773.0,2000.0,3593.0,360.0,-10.0,0.0,0.0,0.0
6558.0,2000.0,4348.0,390.0,-10.0,0.0,0.0,0.0
3548.0,2000.0,1348.0,380.0,-10.0,0.0,0.0,0.0
4936.0,2000.0,2736.0,380.0,-10.0,0.0,0.0,0.0
5872.0,2000.0,3732.0,320.0,-10.0,0.0,0.0,0.0
7067.0,2000.0,4867.0,380.0,-10.0,0.0,0.0,0.0
5715.0,2000.0,3535.0,360.0,-10.0,0.0,0.0,0.0
3913.0,2000.0,1733.0,360.0,-10.0,0.0,0.0,0.0
5298.0,2000.0,3088.0,390.0,-10.0,0.0,0.0,0.0
3780.0,2000.0,1580.0,380.0,-10.0,0.0,0.0,0.0
4926.0,2000.0,2716.0,390.0,-10.0,0.0,0.0,0.0
3702.0,2000.0,1562.0,320.0,-10.0,0.0,0.0,0.0
5077.0,2000.0,2877.0,380.0,-10.0,0.0,0.0,0.0
4695.0,2000.0,2515.0,360.0,-10.0,0.0,0.0,0.0
4323.0,2000.0,2143.0,360.0,-10.0,0.0,0.0,0.0
5378.0,2000.0,3168.0,390.0,-10.0,0.0,0.0,0.0
3289.0,2000.0,1089.0,380.0,-10.0,0.0,0.0,0.0
4367.0,2000.0,2157.0,390.0,-10.0,0.0,0.0,0.0
4142.0,2000.0,2002.0,320.0,-10.0,0.0,0.0,0.0
6517.0,2000.0,4317.0,380.0,-10.0,0.0,0.0,0.0
4474.0,2000.0,2304.0,350.0,-10.0,0.0,0.0,0.0
6363.0,2000.0,4183.0,360.0,-10.0,0.0,0.0,0.0
6898.0,2000.0,4678.0,400.0,-10.0,0.0,0.0,0.0
4859.0,2000.0,2659.0,380.0,-10.0,0.0,0.0,0.0
4966.0,2000.0,2756.0,390.0,-10.0,0.0,0.0,0.0
4742.0,2000.0,2592.0,330.0,-10.0,0.0,0.0,0.0
5377.0,2000.0,3167.0,390.0,-10.0,0.0,0.0,0.0
4405.0,2000.0,2235.0,350.0,-10.0,0.0,0.0,0.0
4963.0,2000.0,2793.0,350.0,-10.0,0.0,0.0,0.0
11088.0,2000.0,8878.0,390.0,-10.0,0.0,0.0,0.0
8760.0,2000.0,6550.0,390.0,-10.0,0.0,0.0,0.0
4466.0,2000.0,2266.0,380.0,-10.0,0.0,0.0,0.0
3932.0,2000.0,1792.0,320.0,-10.0,0.0,0.0,0.0
3927.0,2000.0,1717.0,390.0,-10.0,0.0,0.0,0.0
4675.0,2000.0,2505.0,350.0,-10.0,0.0,0.0,0.0
