total_rewards,recon_rewards,cyber_attack_rewards,disinfo_rewards, term_rewards,loss1_history,loss2_history,loss3_history
4827.0,2000.0,1927.0,1790.0,-10.0,0.0,0.0,0.0
4743.0,2000.0,1783.0,1850.0,-10.0,0.0,0.0,0.0
4957.0,2000.0,1957.0,1890.0,-10.0,0.0,0.0,0.0
4479.0,2000.0,1589.0,1780.0,-10.0,0.0,0.0,0.0
5381.0,2000.0,2441.0,1830.0,-10.0,0.0,0.0,0.0
7164.0,2000.0,4234.0,1820.0,-10.0,0.0,0.0,0.0
5202.0,2000.0,2272.0,1820.0,-10.0,0.0,0.0,0.0
4681.0,2000.0,1781.0,1790.0,-10.0,0.0,0.0,0.0
4406.0,2000.0,1426.0,1870.0,-10.0,0.0,0.0,0.0
4014.0,2000.0,1164.0,1740.0,-10.0,0.0,0.0,0.0
5604.0,2000.0,2694.0,1800.0,-10.0,0.0,0.0,0.0
5970.0,2000.0,3110.0,1750.0,-10.0,0.0,0.0,0.0
7822.0,2000.0,4952.0,1760.0,-10.0,0.0,0.0,0.0
3844.0,2000.0,834.0,1900.0,-10.0,0.0,0.0,0.0
9295.0,2000.0,6345.0,1840.0,-10.0,0.0,0.0,0.0
5140.0,2000.0,2240.0,1790.0,-10.0,0.0,0.0,0.0
4127.0,2000.0,1217.0,1800.0,-10.0,0.0,0.0,0.0
9734.0,2000.0,6894.0,1730.0,-10.0,0.0,0.0,0.0
4360.0,2000.0,1350.0,1900.0,-10.0,0.0,0.0,0.0
7607.0,2000.0,4747.0,1750.0,-10.0,0.0,0.0,0.0
4771.0,2000.0,1881.0,1780.0,-10.0,0.0,0.0,0.0
3938.0,2000.0,1108.0,1720.0,-10.0,0.0,0.0,0.0
4209.0,2000.0,1349.0,1750.0,-10.0,0.0,0.0,0.0
4592.0,2000.0,1552.0,1930.0,-10.0,0.0,0.0,0.0
4310.0,2000.0,1410.0,1790.0,-10.0,0.0,0.0,0.0
5386.0,2000.0,2576.0,1700.0,-10.0,0.0,0.0,0.0
5682.0,2000.0,2792.0,1780.0,-10.0,0.0,0.0,0.0
4144.0,2000.0,1154.0,1880.0,-10.0,0.0,0.0,0.0
5545.0,2000.0,2625.0,1810.0,-10.0,0.0,0.0,0.0
4980.0,2000.0,2070.0,1800.0,-10.0,0.0,0.0,0.0
6047.0,2000.0,3157.0,1780.0,-10.0,0.0,0.0,0.0
4984.0,2000.0,2144.0,1730.0,-10.0,0.0,0.0,0.0
4620.0,2000.0,1600.0,1910.0,-10.0,0.0,0.0,0.0
6487.0,2000.0,3587.0,1790.0,-10.0,0.0,0.0,0.0
7161.0,2000.0,4291.0,1760.0,-10.0,0.0,0.0,0.0
4688.0,2000.0,1878.0,1700.0,-10.0,0.0,0.0,0.0
4839.0,2000.0,1969.0,1760.0,-10.0,0.0,0.0,0.0
6552.0,2000.0,3522.0,1920.0,-10.0,0.0,0.0,0.0
6020.0,2000.0,3130.0,1780.0,-10.0,0.0,0.0,0.0
3826.0,2000.0,996.0,1720.0,-10.0,0.0,0.0,0.0
3772.0,2000.0,892.0,1770.0,-10.0,0.0,0.0,0.0
4204.0,2000.0,1204.0,1890.0,-10.0,0.0,0.0,0.0
8105.0,2000.0,5165.0,1830.0,-10.0,0.0,0.0,0.0
4820.0,2000.0,1930.0,1780.0,-10.0,0.0,0.0,0.0
5477.0,2000.0,2617.0,1750.0,-10.0,0.0,0.0,0.0
6924.0,2000.0,4034.0,1780.0,-10.0,0.0,0.0,0.0
5630.0,2000.0,2610.0,1910.0,-10.0,0.0,0.0,0.0
5417.0,2000.0,2537.0,1770.0,-10.0,0.0,0.0,0.0
4511.0,2000.0,1641.0,1760.0,-10.0,0.0,0.0,0.0
4168.0,2000.0,1348.0,1710.0,-10.0,0.0,0.0,0.0
6369.0,2000.0,3499.0,1760.0,-10.0,0.0,0.0,0.0
4802.0,2000.0,1742.0,1950.0,-10.0,0.0,0.0,0.0
4700.0,2000.0,1820.0,1770.0,-10.0,0.0,0.0,0.0
4996.0,2000.0,2166.0,1720.0,-10.0,0.0,0.0,0.0
6522.0,2000.0,3642.0,1770.0,-10.0,0.0,0.0,0.0
4614.0,2000.0,1604.0,1900.0,-10.0,0.0,0.0,0.0
4425.0,2000.0,1485.0,1830.0,-10.0,0.0,0.0,0.0
5390.0,2000.0,2480.0,1800.0,-10.0,0.0,0.0,0.0
3997.0,2000.0,1127.0,1760.0,-10.0,0.0,0.0,0.0
4384.0,2000.0,1544.0,1730.0,-10.0,0.0,0.0,0.0
8130.0,2000.0,5130.0,1890.0,-10.0,0.0,0.0,0.0
6287.0,2000.0,3407.0,1770.0,-10.0,0.0,0.0,0.0
3911.0,2000.0,1051.0,1750.0,-10.0,0.0,0.0,0.0
6268.0,2000.0,3438.0,1720.0,-10.0,0.0,0.0,0.0
4579.0,2000.0,1669.0,1800.0,-10.0,0.0,0.0,0.0
4322.0,2000.0,1282.0,1930.0,-10.0,0.0,0.0,0.0
4880.0,2000.0,2000.0,1770.0,-10.0,0.0,0.0,0.0
3976.0,2000.0,1156.0,1710.0,-10.0,0.0,0.0,0.0
4852.0,2000.0,1982.0,1760.0,-10.0,0.0,0.0,0.0
