"recon","cyber","disinfo","comb","cyber2","disinfo2","step"
0,0,0,0,0,0,0
200,12,72,14,0,0,1
200,12,72,14,0,0,2
200,12,72,14,0,0,3
200,12,72,14,0,0,4
200,12,72,14,0,0,5
200,12,72,14,0,0,6
200,12,72,14,0,0,7
200,12,72,14,0,0,8
200,12,72,14,0,0,9
200,12,72,14,0,0,10
200,12,72,14,0,0,11
200,12,72,14,0,0,12
200,12,72,14,0,0,13
200,12,72,14,0,0,14
200,12,72,14,0,0,15
200,12,72,14,0,0,16
200,12,72,14,0,0,17
200,12,72,14,0,0,18
200,12,72,14,0,0,19
200,12,72,14,0,0,20
200,12,72,14,0,0,21
200,12,72,14,0,0,22
200,12,72,14,0,0,23
200,12,72,14,0,0,24
200,12,72,14,0,0,25
200,12,72,14,0,0,26
200,12,72,14,0,0,27
200,12,72,14,0,0,28
200,12,72,14,0,0,29
200,12,72,14,0,0,30
200,12,72,14,0,0,31
200,12,72,14,0,0,32
200,12,72,14,0,0,33
200,12,72,14,0,0,34
200,12,72,14,0,0,35
200,12,72,14,0,0,36
200,12,72,14,0,0,37
200,12,72,14,0,0,38
200,12,72,14,0,0,39
200,12,72,14,0,0,40
200,12,72,14,0,0,41
200,12,72,14,0,0,42
200,12,72,14,0,0,43
200,12,72,14,0,0,44
200,12,72,14,0,0,45
200,12,72,14,0,0,46
200,12,72,14,0,0,47
200,12,72,14,0,0,48
200,12,72,14,0,0,49
200,12,72,14,0,0,50
200,12,72,14,0,0,51
200,12,72,14,0,0,52
200,12,72,14,0,0,53
200,12,72,14,0,0,54
200,12,72,14,0,0,55
200,12,72,14,0,0,56
200,12,72,14,0,0,57
200,12,72,14,0,0,58
200,12,72,14,0,0,59
200,12,72,14,0,0,60
200,12,72,14,0,0,61
200,12,72,14,0,0,62
200,12,72,14,0,0,63
200,12,72,14,0,0,64
200,12,72,14,0,0,65
200,12,72,14,0,0,66
200,12,72,14,0,0,67
200,12,72,14,0,0,68
200,12,72,14,0,0,69
200,12,72,14,0,0,70
200,12,72,14,0,0,71
200,12,72,14,0,0,72
200,12,72,14,0,0,73
200,12,72,14,0,0,74
200,12,72,14,0,0,75
200,12,72,14,0,0,76
200,12,72,14,0,0,77
200,12,72,14,0,0,78
200,12,72,14,0,0,79
200,12,72,14,0,0,80
200,12,72,14,0,0,81
200,12,72,14,0,0,82
200,12,72,14,0,0,83
200,12,72,14,0,0,84
200,12,72,14,0,0,85
200,12,72,14,0,0,86
200,12,72,14,0,0,87
200,12,72,14,0,0,88
200,12,72,14,0,0,89
200,12,72,14,0,0,90
200,12,72,14,0,0,91
200,12,72,14,0,0,92
200,12,72,14,0,0,93
200,12,72,14,0,0,94
200,12,72,14,0,0,95
200,12,72,14,0,0,96
200,12,72,14,0,0,97
200,12,72,14,0,0,98
200,12,72,14,0,0,99
200,12,72,14,0,0,100
