recon,cyber,disinfo,comb,cyber2,disinfo2
0.0,0.0,0.0,0.0,0.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
200.0,26.0,0.0,17.0,54.0,0.0
