total_rewards,action_rewards,opinion_rewards,social_trust_sp0,social_trust_sp1,social_trust_sp2,request_rate_sp0,request_rate_sp1,request_rate_sp2,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,availability_sp0,availability_sp1,availability_sp2
118826.0,59344.0,59482.0,0.0,0.0,0.0,37.05,22.836,40.114,0.962,34.594,0.022,22.294,0.032,42.096,0.8544669365721997,0.8619723244000701,0.8486812584135215
118561.0,59426.0,59135.0,0.0,0.0,0.0,36.984,22.842,40.174,0.922,34.552,0.028,22.158,0.036,42.304,0.8537746052346961,0.8300499080640925,0.8684721461641858
118082.0,59249.0,58833.0,0.0,0.0,0.0,37.04,22.836,40.124,0.882,34.548,0.022,22.396,0.026,42.126,0.8859071274298056,0.8611840952881415,0.8176652377629349
121762.0,62346.0,59416.0,0.0,0.0,0.0,37.056,22.786,40.158,0.926,34.518,0.018,22.392,0.024,42.122,0.8776986183074266,0.8827350127271132,0.8902335773693909
119634.0,60217.0,59417.0,0.0,0.0,0.0,37.054,22.778,40.168,0.828,34.554,0.028,22.25,0.016,42.324,0.865925406163977,0.8814645710773553,0.849631547500498
117158.0,57945.0,59213.0,0.0,0.0,0.0,37.056,22.788,40.156,0.918,34.46,0.016,22.37,0.024,42.212,0.8108268566493955,0.8176233105143058,0.879719095527443
119194.0,60168.0,59026.0,0.0,0.0,0.0,37.03,22.844,40.126,0.984,34.35,0.012,22.386,0.038,42.23,0.8762624898730759,0.864559621782525,0.8465334197278572
117319.0,58106.0,59213.0,0.0,0.0,0.0,37.128,22.796,40.076,0.786,34.7,0.028,22.214,0.036,42.236,0.892964878258996,0.8162835585190384,0.8097614532388462
116228.0,57490.0,58738.0,0.0,0.0,0.0,37.104,22.826,40.07,1.022,34.434,0.01,22.416,0.028,42.09,0.8752695127210004,0.850696574082187,0.7895682555527826
119512.0,60215.0,59297.0,0.0,0.0,0.0,37.094,22.828,40.078,0.952,34.36,0.026,22.302,0.032,42.328,0.8609478621879549,0.8663921499912388,0.8612705224811618
118426.0,59584.0,58842.0,0.0,0.0,0.0,37.048,22.784,40.168,0.928,34.44,0.036,22.402,0.034,42.16,0.8402612826603325,0.8683286516853933,0.8653654650468035
118293.0,58967.0,59326.0,0.0,0.0,0.0,37.142,22.786,40.072,0.872,34.422,0.022,22.362,0.036,42.286,0.8566582305745517,0.8479768278767664,0.8430824515871431
121310.0,61776.0,59534.0,0.0,0.0,0.0,37.124,22.818,40.058,0.916,34.55,0.016,22.234,0.034,42.25,0.881963150522573,0.8780787097905163,0.8751310599630536
120322.0,61074.0,59248.0,0.0,0.0,0.0,36.996,22.81,40.194,0.938,34.312,0.012,22.326,0.034,42.378,0.8610120012974376,0.8711091626479615,0.8816738816738817
118429.0,59378.0,59051.0,0.0,0.0,0.0,36.986,22.85,40.164,0.924,34.396,0.012,22.334,0.028,42.306,0.8265830314172931,0.8900656455142232,0.8587292102380241
120279.0,60769.0,59510.0,0.0,0.0,0.0,37.076,22.834,40.09,0.962,34.404,0.01,22.396,0.026,42.202,0.8696191606430036,0.8626609442060086,0.8716388126714891
119088.0,59780.0,59308.0,0.0,0.0,0.0,37.008,22.862,40.13,1.032,34.404,0.016,22.22,0.028,42.3,0.875,0.8662409238036917,0.8361325691502617
119495.0,60160.0,59335.0,0.0,0.0,0.0,37.126,22.782,40.092,0.89,34.486,0.028,22.368,0.024,42.204,0.8603673975111782,0.8404003160389781,0.8769330539758555
118935.0,59704.0,59231.0,0.0,0.0,0.0,37.11,22.8,40.09,1.012,34.49,0.018,22.42,0.028,42.032,0.8962543788736189,0.8051754385964912,0.8529807932152657
118436.0,59219.0,59217.0,0.0,0.0,0.0,37.054,22.77,40.176,0.94,34.526,0.024,22.358,0.022,42.13,0.8236627624547957,0.8535792709705753,0.8789824771007567
120971.0,61255.0,59716.0,0.0,0.0,0.0,37.056,22.812,40.132,0.956,34.322,0.016,22.46,0.024,42.222,0.881800518134715,0.8533228125547957,0.8762583474534038
