recon,cyber,disinfo,comb,cyber2,disinfo2
0.0,0.0,0.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
200.0,12.0,82.0,0.0,0.0,0.0
