total_rewards,action_rewards,opinion_rewards,social_trust_sp0,social_trust_sp1,social_trust_sp2,request_rate_sp0,request_rate_sp1,request_rate_sp2,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,availability_sp0,availability_sp1,availability_sp2
119185.0,60245.0,58940.0,0.0,0.0,0.0,37.058,22.816,40.126,0.914,34.508,0.014,22.208,0.026,42.33,0.9081439905013762,0.8616760168302945,0.8225589393410756
117712.0,59113.0,58599.0,0.0,0.0,0.0,37.08,22.792,40.128,0.878,34.48,0.018,22.366,0.028,42.23,0.8443905070118662,0.9097051597051597,0.825109649122807
116072.0,57786.0,58286.0,0.0,0.0,0.0,37.066,22.77,40.164,0.99,34.476,0.02,22.204,0.024,42.286,0.8695300275184805,0.8815985946420729,0.7836868837765163
113888.0,55980.0,57908.0,0.0,0.0,0.0,37.118,22.776,40.106,1.022,34.412,0.022,22.22,0.034,42.29,0.7898054852093324,0.8573937478047067,0.8270582955168803
118586.0,59594.0,58992.0,0.0,0.0,0.0,37.114,22.788,40.098,0.952,34.286,0.016,22.138,0.044,42.564,0.8370426254243681,0.870019308407934,0.8670756646216768
117049.0,58284.0,58765.0,0.0,0.0,0.0,37.094,22.804,40.102,0.94,34.416,0.012,22.348,0.04,42.244,0.8304307974335472,0.8126644448342396,0.874021245823151
121081.0,61680.0,59401.0,0.0,0.0,0.0,37.088,22.838,40.074,0.83,34.672,0.024,22.312,0.028,42.134,0.8982959447799828,0.8967510289867764,0.8463342815790788
121678.0,62210.0,59468.0,0.0,0.0,0.0,37.116,22.834,40.05,0.906,34.576,0.024,22.282,0.022,42.19,0.8957322987390882,0.8754488920031532,0.8718601747815231
117927.0,59014.0,58913.0,0.0,0.0,0.0,37.11,22.772,40.118,0.926,34.562,0.016,22.324,0.028,42.144,0.8668822419832929,0.8192517126295451,0.8542798743706067
117129.0,58130.0,58999.0,0.0,0.0,0.0,37.124,22.824,40.052,0.932,34.542,0.02,22.312,0.032,42.162,0.8168300829651978,0.8518226428321065,0.8585838410066913
120002.0,60982.0,59020.0,0.0,0.0,0.0,37.146,22.764,40.09,0.91,34.378,0.014,22.472,0.042,42.184,0.8779410972917676,0.8852574240028115,0.8563731603891245
120171.0,61079.0,59092.0,0.0,0.0,0.0,37.094,22.836,40.07,1.028,34.468,0.01,22.236,0.038,42.22,0.8941068636437159,0.8335084953582064,0.8725729972548041
116640.0,57770.0,58870.0,0.0,0.0,0.0,37.012,22.844,40.144,0.922,34.418,0.026,22.432,0.016,42.186,0.843240030260456,0.8703379443179828,0.8157632522917497
117708.0,58802.0,58906.0,0.0,0.0,0.0,37.112,22.822,40.066,0.888,34.634,0.022,22.306,0.026,42.124,0.815315800819142,0.871352204013671,0.8661209005141517
