recon,cyber,disinfo,comb,cyber2,disinfo2
0.0,0.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
200.0,98.0,0.0,0.0,0.0,0.0
