total_rewards,action_rewards,opinion_rewards,sp0_social_trust,sp1_social_trust,sp2_social_trust,sp0_request_rate,sp1_request_rate,sp2_request_rate,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,sp0_availability,sp1_availability,sp2_availability
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133253.0,64405.0,68848.0,0.0,0.0,0.0,35.57454545454546,21.636363636363637,42.78909090909091,1.7945454545454544,33.20181818181818,0.02,21.274545454545454,0.034545454545454546,43.67454545454545,0.8420729837473168,0.8774789915966387,0.834452281805048
135097.0,66105.0,68992.0,0.0,0.0,0.0,35.54727272727273,21.64,42.81272727272727,1.8436363636363637,33.29454545454546,0.016363636363636365,21.12,0.03090909090909091,43.694545454545455,0.8772441307350007,0.8881700554528651,0.8356903214846902
136169.0,67014.0,69155.0,0.0,0.0,0.0,35.60545454545454,21.612727272727273,42.78181818181818,1.8345454545454545,33.10727272727273,0.023636363636363636,21.156363636363636,0.034545454545454546,43.843636363636364,0.8721339937701067,0.8833179103222007,0.861878453038674
135674.0,66686.0,68988.0,0.0,0.0,0.0,35.60545454545454,21.594545454545454,42.8,1.8945454545454545,32.99272727272727,0.02,21.123636363636365,0.04181818181818182,43.92727272727273,0.8726446407598427,0.8528247874042266,0.8700084961767205
135710.0,66311.0,69399.0,0.0,0.0,0.0,35.54727272727273,21.616363636363637,42.836363636363636,1.8345454545454545,33.198181818181816,0.023636363636363636,21.14909090909091,0.02181818181818182,43.77272727272727,0.835507135184901,0.8553284548742535,0.8900679117147708
132709.0,63873.0,68836.0,0.0,0.0,0.0,35.61636363636364,21.581818181818182,42.801818181818184,1.7872727272727273,32.92727272727273,0.012727272727272728,21.267272727272726,0.02727272727272727,43.97818181818182,0.8001429373628056,0.8778433024431339,0.8566331081942143
136458.0,67102.0,69356.0,0.0,0.0,0.0,35.57090909090909,21.669090909090908,42.76,1.7745454545454546,33.21818181818182,0.016363636363636365,21.136363636363637,0.02181818181818182,43.832727272727276,0.8660294418319362,0.8351233428427588,0.8915724126201208
134255.0,65445.0,68810.0,0.0,0.0,0.0,35.58181818181818,21.614545454545453,42.803636363636365,1.7945454545454544,33.06727272727273,0.023636363636363636,21.181818181818183,0.03090909090909091,43.90181818181818,0.8895758814512008,0.8662516823687753,0.8222750828306856
135927.0,66846.0,69081.0,0.0,0.0,0.0,35.53636363636364,21.64909090909091,42.81454545454545,1.8072727272727274,33.052727272727275,0.00909090909090909,21.225454545454546,0.03636363636363636,43.86909090909091,0.8557687388078793,0.8657092466616276,0.8788432138610498
