"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.587945085470086,0.000878167894815778,0.501115491452992,0.00172449608806838,0.576348183760684,0.00108096879628981,0.510071428571429,0.0107488619581413,0.648154761904762,0.018266196122624,0.506829365079365,0.00965687448587341,0.566395244434718,0.00263915240369418,0.501182867077604,0.00193437638864381,0.594718617402828,0.00143824123769293,0.500484150326797,0.00108386391868049,0.660884272875817,0.00186300889157038,0.501145833333333,0.0013770008908578
2,50.5,29.011491975882,0.62377030651341,0.017374483791883,0.501479400179102,0.00243442250091041,0.608451623251491,0.00459777387163068,0.510091133004926,0.0105876390034874,0.724958559639594,0.0136889169806901,0.513442223485327,0.0125975977917546,0.595767517544392,0.0147717031977313,0.502196001712685,0.00247610370569758,0.636209594486399,0.00433412997248212,0.50289751066209,0.00482561315001688,0.731966503593038,0.00911648889141687,0.501113335088677,0.00105268255689184
3,50.5,29.011491975882,0.64171712060473,0.0271046410887752,0.500263317648764,0.00029539899119339,0.627067010669398,0.00747769205026736,0.50958876636923,0.00986296217375918,0.765256157135802,0.0200947088486375,0.517626994083228,0.0171223666144642,0.611146126132133,0.0222188501931973,0.502512213704332,0.0033313104719067,0.659512664390764,0.00770940689844584,0.504934174544426,0.00775846771929226,0.766558475316257,0.0142928673759034,0.501637714076501,0.00101666795020537
4,50.5,29.011491975882,0.652902519398621,0.0327494781946114,0.50029949606777,0.000915990817597778,0.637605428480017,0.00960860400778542,0.508376197989209,0.00862793785813944,0.778014094310814,0.0379894003219423,0.524936087306273,0.0241166573209494,0.620480285379057,0.0266328209444408,0.501173714728139,0.000942101857954175,0.675366823691075,0.00956333185860008,0.507052323430452,0.0081150008252505,0.784350494379283,0.0283070739104927,0.502093360577985,0.00172147823708886
5,50.5,29.011491975882,0.658640031262127,0.036964244018802,0.500834998661849,0.00185151274089298,0.643060215649987,0.0146013057226815,0.50945760508421,0.00893498242763604,0.80113732714876,0.0491826012075837,0.516531589648123,0.014480245852896,0.627310593707147,0.0307170743654431,0.501374268094309,0.000857176536559169,0.681821715084045,0.0167571753417448,0.507065233121834,0.00771558594398769,0.798285951568366,0.0430457411078342,0.502346643358102,0.00319290944968296
6,50.5,29.011491975882,0.664335214126239,0.0391522205396561,0.502832096765965,0.00377027883518728,0.644653682310024,0.0209084324987217,0.508848874827694,0.00844648955589064,0.81021483192679,0.0605359288339054,0.516467019439231,0.0127333555244148,0.630112840972584,0.0318806104588735,0.505420357786299,0.00443431281053741,0.684481914080444,0.026534109532111,0.506766005630915,0.00679283441491352,0.8085598767715,0.0525066906519452,0.502803779322961,0.00169168815642865
7,50.5,29.011491975882,0.667340663447872,0.0408973717203354,0.502825719066362,0.00366602143037155,0.648250061064032,0.0249251839253314,0.509922101091527,0.0107857143118299,0.818034896038369,0.0648461008278631,0.515286333190304,0.0116639134941174,0.631926786655783,0.0331789496538307,0.5063744576455,0.00474883881865138,0.688573839639203,0.0308130053096698,0.51117836505624,0.00773844672963806,0.814054351250196,0.0568937188356465,0.50292043846594,0.00155787891918305
8,50.5,29.011491975882,0.670795402800005,0.0424830497702346,0.501259321433644,0.00144929068049,0.653205082564482,0.0271019429343721,0.515113940642585,0.0118411091781755,0.825192549405232,0.0667693865872751,0.515312312714327,0.011737287449408,0.635591125332133,0.0335391457669112,0.502710523689313,0.00271652934980182,0.693547690196935,0.0336587047932266,0.513657223006176,0.00718480092818014,0.819828739710197,0.0598859722377409,0.502981887343509,0.00291696818006817
9,50.5,29.011491975882,0.672286716102376,0.0418606261103271,0.503356682641601,0.00466864283052657,0.655421083342798,0.0280467152693164,0.511462371590634,0.0118787555195226,0.827387796001418,0.0687142036003934,0.514939022188318,0.0111201097683566,0.636917374424344,0.0322388690827026,0.504481185221078,0.00423583950921988,0.694906937117904,0.0348481327269268,0.513460566317312,0.00667085736389475,0.82326114263007,0.0607111381248259,0.503088405230189,0.00234734844415785
10,50.5,29.011491975882,0.6751409627813,0.0410812407230209,0.501326608828205,0.00120868838623087,0.656640112242748,0.0296874550570004,0.516658319498205,0.013114419139609,0.82948607641885,0.0659824031768798,0.513524412598381,0.0101417505354359,0.63911005684357,0.0301948202695507,0.502523016718922,0.00170162321860853,0.696918136757477,0.0374466490680707,0.514456741916139,0.0075044852359832,0.825251166974135,0.0617724055699227,0.503492753191671,0.00233499915902027
11,50.5,29.011491975882,0.677027916553698,0.0410558541211994,0.501479153188537,0.00165194539466188,0.655735702447703,0.0319314810032647,0.514954463550652,0.0121680840097536,0.820710785687817,0.0643562632732298,0.522939008435925,0.0172153000441151,0.641184772440314,0.029278951653343,0.502470908038899,0.0013232108647836,0.696314313214816,0.0398275389388892,0.513743055301021,0.00660667195854271,0.82606572765141,0.0625633943415052,0.503705653468732,0.00230467455086389
12,50.5,29.011491975882,0.676640947451465,0.0410856986811837,0.501915095071944,0.00209590776508981,0.657267808036844,0.0348600389281673,0.515383471276237,0.0115357221092565,0.831108143251138,0.063910007291982,0.514805607142063,0.00811349087909657,0.642297947842328,0.0289519265841751,0.502617742677067,0.00175481428786272,0.693547232551454,0.0430161362962428,0.512693928463547,0.00615157086859175,0.820910765980692,0.0612121714506252,0.508245723251998,0.00918465615881509
13,50.5,29.011491975882,0.676165431524253,0.0404118269732674,0.503759167324362,0.00415083250489265,0.655426268552322,0.0370396455134087,0.510158098534329,0.00989955710397958,0.82885735464942,0.0650943701342761,0.515976639826744,0.00848258715447634,0.639349562810469,0.0286126263167143,0.503578326848306,0.00188828416208754,0.694289599468017,0.0459695900499845,0.517034539251757,0.0114350023351263,0.82026986414561,0.0592629478660227,0.504980883534887,0.00364432732493332
14,50.5,29.011491975882,0.676200716785853,0.0395433366811772,0.501866950466626,0.00219560826517985,0.656045395236782,0.039337657184862,0.514898377048286,0.0120491280349879,0.82948733915347,0.0611031108179291,0.515045394670632,0.00755312431841455,0.641768521152135,0.0285663356462902,0.506115887688112,0.0046018388866959,0.691483368466202,0.0483203055141614,0.511638102341782,0.00562341449846964,0.825673677104917,0.0597895700013168,0.504497433496766,0.00169730595121756
15,50.5,29.011491975882,0.675755189871332,0.0388763746533221,0.501560572966809,0.001660534467047,0.655216365555338,0.0409089304462819,0.514581681619131,0.0116978976908648,0.830080849672558,0.0588071660350497,0.514475632464949,0.00733835294482611,0.641934702018813,0.028117553712359,0.504455012324748,0.00292403763076979,0.692409772652359,0.0510805562180812,0.512683362618248,0.00679444134057004,0.826154110968693,0.0569927761645906,0.504447347785354,0.00170415427928871
16,50.5,29.011491975882,0.676419413891159,0.0390729913761659,0.503321189973354,0.00378767855218785,0.653081377885182,0.0416779683670822,0.508730813324885,0.00753117659903691,0.832137789408494,0.0572454302195556,0.514629404281265,0.00696796750146527,0.639072205948254,0.0274044167878568,0.508025176961816,0.00744720694657702,0.689713206683637,0.051843827821975,0.516253354673728,0.0145261698716673,0.82395656225731,0.0550726174940471,0.504856007884192,0.0018284562513463
17,50.5,29.011491975882,0.675645365879549,0.0383592264024215,0.501713923653732,0.0016776798778984,0.653152389941408,0.0430986949325107,0.522681620570082,0.0214886652607468,0.825096485578854,0.0532723780456984,0.516195758206526,0.0059646730159902,0.640342088199672,0.0279538717682142,0.508719677118929,0.00620049576630594,0.688811083393459,0.0537029095601057,0.51285185855254,0.00634975821303847,0.828668869685008,0.0517451811274889,0.506466482010208,0.00374902734916051
18,50.5,29.011491975882,0.677321243013656,0.0380011181262602,0.503969297753376,0.00342656040361635,0.650027056503478,0.0454977505257601,0.507578213579771,0.00707591841093253,0.833952738478523,0.0530930822875174,0.513423091406913,0.00631972631210218,0.640908386097868,0.0283781856305143,0.507274535205464,0.00555127138933724,0.688481002278255,0.0572133704822415,0.516261667585893,0.00732111732689083,0.826686146583773,0.0497210819671268,0.506445570564799,0.00350981028586113
19,50.5,29.011491975882,0.677670435659959,0.0379280924259136,0.502259030284071,0.00171978622389646,0.649801345367164,0.0474659209768885,0.514377970061624,0.0145774238241763,0.83317526506501,0.0549374836890789,0.512368029782886,0.00556334339338909,0.638560879916513,0.0287650899641553,0.506806145499727,0.00354831265260522,0.689837658598009,0.0612822153103626,0.52550185487781,0.0137130888667869,0.817815197385242,0.0493110711069846,0.506295140612737,0.0033711063561598
20,50.5,29.011491975882,0.676638867162554,0.0378870249455504,0.502411573014582,0.00217332372005236,0.650575044060158,0.0487746385435403,0.522609685463148,0.0204376951548351,0.823561650174665,0.0572450255755222,0.512400861297196,0.00712036334249271,0.640581967725251,0.029800549251815,0.507490735183298,0.00491976369756676,0.686198076007398,0.0618402606698524,0.515903807689143,0.00821614852104403,0.826158673318926,0.0518043051789864,0.508297078932042,0.00451737996701802
