"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.588963247863248,0.00177814053309763,0.500705448717949,0.00155280935859459,0.575685683760684,0.00173068288187251,0.500761904761905,0.00308086721964388,0.663194444444444,0.00424532741899824,0.501309523809524,0.00173797827856362,0.567329509671615,0.00174769709758612,0.500475708502024,0.000822517308936327,0.594666216824111,0.0015415062030493,0.500355555555556,0.00135139053980379,0.661618055555556,0.00225480938034425,0.5005,0.000732540894159598
2,50.5,29.011491975882,0.627330178931737,0.00601136828053847,0.501088114670475,0.00194602833232733,0.608240641365708,0.00589598615934259,0.50125697865353,0.00354681367509175,0.733129205086102,0.0133514631983611,0.505852543050819,0.00655936865431129,0.596350849523263,0.00540874664808545,0.500752239989536,0.000702095748791971,0.635633529033711,0.00408515359577023,0.5022846647943,0.00466653157985183,0.728914335959848,0.0122205285154564,0.50071167173766,0.0011746197690574
3,50.5,29.011491975882,0.647933544033203,0.00868386864268153,0.501378712061937,0.00250177356151895,0.626953332387736,0.00951454863610367,0.5012163426421,0.00344420465441508,0.76825018294706,0.0227972318746667,0.509054615317777,0.00872902821110866,0.612621384069914,0.00791524546809246,0.503212563824075,0.00320307670294788,0.655477295005411,0.00655006923672442,0.500927439375656,0.00168976398669668,0.767814702534016,0.0146478648807691,0.501079175955468,0.00113091218344872
4,50.5,29.011491975882,0.660270295466551,0.0105879554882148,0.500626465851556,0.000892260493057366,0.638857970645346,0.0101524079008535,0.501177937995341,0.00334847304656149,0.789774386303932,0.028749060410715,0.512487219492735,0.0116716087304442,0.622444122645732,0.00923660783434811,0.502946796784372,0.00329640188002486,0.669289348493463,0.00865471649961229,0.504032966578718,0.00502473351293454,0.788270498976458,0.0185627883822855,0.501383901658467,0.000988670538424775
5,50.5,29.011491975882,0.667919102299991,0.0114486507383102,0.500906871771325,0.00130098200220891,0.644420595624637,0.0128465578672219,0.501284279253393,0.00444488851986678,0.803848783029517,0.0322232106579942,0.512026596552443,0.0107375981237154,0.62594491902315,0.0106639143190556,0.503914293121756,0.00337871779336451,0.676782094232404,0.0161312063424219,0.510155407466592,0.012527790500877,0.79563440265119,0.0235043056134724,0.501750554284299,0.00166734940383707
6,50.5,29.011491975882,0.672823179494112,0.0144731958223031,0.502160359911269,0.00347772174545902,0.646502286800613,0.0185230772715429,0.50097423487955,0.00469741636272008,0.802734471309306,0.0415832440808651,0.520603878008678,0.0272608076546456,0.631447834551985,0.0120645513038286,0.502855579674209,0.0023150777151724,0.682307221249073,0.0238798190585627,0.50801579470359,0.0109952639200196,0.804607009193361,0.0245171801442443,0.503458595954478,0.00400333152277691
7,50.5,29.011491975882,0.674590480154348,0.0191943978440739,0.504037782529754,0.00428427713773424,0.646121735340714,0.0247517330676782,0.504434728118814,0.00935885632464097,0.812598432085427,0.0402184487132832,0.516567150959513,0.0182381572825564,0.63341606439713,0.0153513335767358,0.50374151988813,0.00314514180937101,0.681821426682844,0.0336015364524525,0.505925326820796,0.0067694935891699,0.812729694052636,0.02672345226353,0.503572945385249,0.00367984811058304
8,50.5,29.011491975882,0.67699697391859,0.025057698316192,0.503275809641292,0.00471803461169379,0.64588869185901,0.0335725113497705,0.504923698817079,0.0107220858827409,0.821739469476842,0.0392963206750389,0.514972887282798,0.0107019896925356,0.633111209707113,0.0192298412621111,0.505829339704417,0.00537854428465365,0.67976832398632,0.0440225280492869,0.508217270299779,0.00945903701246313,0.815835660745078,0.0297473454884998,0.50415557762263,0.00375518118535947
9,50.5,29.011491975882,0.678096372475772,0.030459701247667,0.502033089303294,0.00207056248987506,0.645434703723085,0.0392289709981063,0.507644928263029,0.0116358715938684,0.821568226995585,0.0455986558497082,0.518923453676682,0.0187725093809397,0.633778196415642,0.0230735229224594,0.50624641683121,0.00545440590565104,0.678226115182845,0.0526393242292565,0.507328601505343,0.00827609822508124,0.821273488012968,0.0342152468187433,0.505966789910401,0.00603494945764336
10,50.5,29.011491975882,0.677296676636183,0.0360898983609787,0.503316622785625,0.00447159348142934,0.646347625866686,0.0430470708483802,0.507637167792839,0.0115076680733411,0.828180394114102,0.0476757853149874,0.513564662285033,0.00895988515385552,0.634060975844802,0.0272225525772749,0.504017338670924,0.00276584685073661,0.679748035077039,0.0576185297277952,0.512509645329718,0.00996624915681015,0.821158995426508,0.0386933566745397,0.506158394376595,0.00584832484794423
