"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.588665705128205,0.00125557286527955,0.500443376068376,0.000535454554875514,0.576113141025641,0.00121423288513151,0.5005,0.00303244101037642,0.64865873015873,0.00801206220522801,0.516761904761905,0.00861407806262563,0.568297540455435,0.00129289995833487,0.500837725377199,0.00106320282843259,0.593493340506498,0.00155390137214713,0.50027512254902,0.00137542998187982,0.662003553921569,0.00323932288632514,0.50054591503268,0.00219104615662801
2,50.5,29.011491975882,0.616560325109687,0.0330328077253751,0.500848620090064,0.000866855859538099,0.609402560358848,0.00327868263447815,0.500840304092459,0.00401601115074944,0.722013794156036,0.0167207379948565,0.516525691023536,0.00736270660305513,0.592236256977776,0.0274798897082161,0.501348572003849,0.0011346215441735,0.629660354124999,0.00556210682828641,0.500787756150205,0.00304917016945955,0.731721692151662,0.00940736195406363,0.500574828149651,0.00180557942998769
3,50.5,29.011491975882,0.629267427709799,0.0513394711310456,0.500929540135743,0.00133540199954888,0.626154423594588,0.00500848213011847,0.501012537915617,0.00410709566144899,0.762081651098505,0.0217969910513334,0.515650119756523,0.00664694459425676,0.60410082226365,0.0429984486850299,0.501983082098226,0.00172291517242925,0.651149691116153,0.00886638894557918,0.500817998722505,0.0029088747448237,0.769048030038991,0.0150728044281084,0.500664227925934,0.00187455156359823
4,50.5,29.011491975882,0.639139436191115,0.0590518567781887,0.500962344192009,0.00128255670780252,0.632354292738441,0.0188036943402763,0.500020390815738,0.00560982733483707,0.779119307779038,0.0354974090279234,0.514723933435724,0.00683249211292147,0.609236616653911,0.048708061796294,0.502098430877793,0.00121174769491367,0.658296931296826,0.0236928716748609,0.501644806349029,0.00517053655189647,0.790703952858167,0.0246674006575362,0.501509061674189,0.00305216200280147
5,50.5,29.011491975882,0.644285788336348,0.0633792637457851,0.501079984001515,0.00180822304242959,0.635427459226357,0.0303234944170327,0.501531486201983,0.00516244940930667,0.794442688778629,0.0449564507036277,0.513966665364167,0.00654665852459623,0.614379849686922,0.0519677923175245,0.503122868134137,0.00286143697225253,0.660179288602214,0.0374920146025073,0.502023949919747,0.00459607168109783,0.785735852940375,0.0322097633420117,0.515262800782276,0.00890292625525839
6,50.5,29.011491975882,0.649106823932822,0.0650772461463335,0.50105296486691,0.00180158811699849,0.637834057463466,0.0363955168503458,0.501367820478654,0.00556254977781542,0.801736710455262,0.0530480166538799,0.516486062775845,0.00650096050602818,0.615281804145015,0.0524979644439284,0.5053400059437,0.00279478140972121,0.66610049813535,0.0462183035069822,0.502394892393873,0.00523059160477639,0.803348573235114,0.0432140836015636,0.503845146102165,0.00263638932349326
7,50.5,29.011491975882,0.653106000940608,0.0656161050256185,0.500832954286616,0.00113390386500769,0.640537020584248,0.0392571054660985,0.501712682807604,0.00601517963660227,0.80699957741721,0.0577621086901891,0.51536879276923,0.0059129982883155,0.618488458345552,0.05340177803089,0.50506740130335,0.00249139488467847,0.66801334611512,0.0510373770693157,0.50365388194117,0.00550786299919302,0.80534420267488,0.0498477585008214,0.504302045279259,0.00301178275723568
8,50.5,29.011491975882,0.656585856679944,0.0638620098981317,0.501333109269966,0.00213727371560425,0.642683075008043,0.0405735083191911,0.502992786642397,0.00556333040847425,0.811518683385746,0.0643773820795773,0.51446834641307,0.00515011713311356,0.623099473035461,0.0530132581311603,0.505014854034968,0.00248663887663908,0.670539684091051,0.0528876294047686,0.503976727808036,0.00624031554914145,0.808424177826106,0.0535855361024953,0.504888553920775,0.00195347533829453
9,50.5,29.011491975882,0.65988129454125,0.060229235940915,0.501152638730686,0.00226579680937487,0.64462677340233,0.0402673551651708,0.502744352296526,0.00462011795586851,0.814055243809159,0.0702698704777181,0.514019242172476,0.00578129198823932,0.624797748917777,0.0503780170329088,0.5052653300853,0.00260180903038164,0.674194659551417,0.0540369656544678,0.503685906176037,0.00574521368903165,0.809517458836843,0.0597897787236611,0.505269845562932,0.00182484331613688
10,50.5,29.011491975882,0.660809226844607,0.0560654618865296,0.501162560088409,0.00164636621484281,0.646101330679391,0.0403254982451185,0.503168500464615,0.00603372485216064,0.816070489792508,0.0794756489766104,0.513516537780683,0.0063092362388889,0.62548433524943,0.0477455877022946,0.504981373014859,0.00245328347548621,0.674663387729765,0.0537486328044008,0.503631023067765,0.00565273924894369,0.811342232023497,0.069923806360734,0.505895458220133,0.00221050743916913
11,50.5,29.011491975882,0.658271012909914,0.0521085004200048,0.507807315497381,0.00387582422991073,0.643430484260507,0.0398385728702128,0.503600459344011,0.00620236255661683,0.819159735678676,0.086134201517472,0.514022386083682,0.00583956525020404,0.626101164398837,0.0455916601163761,0.505127198933526,0.00198838003677674,0.675476215618039,0.0544224033310993,0.503355004626469,0.00566937495265867,0.814304667780058,0.0768944486337298,0.506315692803718,0.003261975877559
12,50.5,29.011491975882,0.659034031853013,0.050836127917845,0.507306778368987,0.00402174580814192,0.642990101570261,0.0407372843007783,0.503705285500805,0.00671586437402538,0.823157522906407,0.0885172580172705,0.530432105295471,0.0149596073232661,0.625374682151176,0.0440544764646826,0.505603753225056,0.00273652052432697,0.676935674734804,0.0543800212758077,0.504058358348844,0.00652410699827544,0.817351922437847,0.0803354840942815,0.50561450451982,0.00197303134389982
13,50.5,29.011491975882,0.662813099807787,0.0520467757520606,0.50151194381226,0.00167662598296653,0.64593710312339,0.0421015998602528,0.515155394649259,0.0146540126039728,0.825242917419154,0.0857620455500958,0.526036226568406,0.0127776224296865,0.626527986826944,0.0431207077472234,0.505598060102307,0.00267026785904413,0.677392662933117,0.054655227748454,0.503787374504613,0.00594337893527826,0.820642388882942,0.0823090895385382,0.505721327918365,0.00232465975859734
14,50.5,29.011491975882,0.665235354517829,0.0528607084573964,0.501591855488255,0.00188939244880535,0.642672689751289,0.0422812890847573,0.512955155336368,0.0120108222937743,0.795218179973291,0.0810184806480557,0.553270770651586,0.0283259493333757,0.626288982553921,0.0419937941761634,0.505323146857482,0.00236655876820433,0.678587207306974,0.0550788527517953,0.504915930025806,0.00753861282541027,0.818895118432999,0.0821479680200552,0.505502251751462,0.00180308031672075
15,50.5,29.011491975882,0.662243236144142,0.0510966901463217,0.504085209215415,0.00221356407364991,0.645764852699501,0.0440507452094683,0.5132674282451,0.0129390437295093,0.826860283268276,0.0887484743013361,0.526307574996659,0.011395612518696,0.624146712202738,0.0399093244936524,0.510994732238125,0.00476754615149251,0.674925458113359,0.0549100520923536,0.503863973292572,0.00627527516469368,0.819196635128048,0.0826463379115904,0.505217564811563,0.00171404742563866
16,50.5,29.011491975882,0.662695070491677,0.0508201358332706,0.503851021425045,0.00205502866705421,0.643779597482167,0.0456821528183795,0.512354459188119,0.0120809637317274,0.826959059241912,0.0899698868902465,0.525838795468193,0.0109816230964156,0.62729022106763,0.0399506105449524,0.505211996388799,0.0025823041387582,0.676542930021671,0.0577861097044728,0.510390179111903,0.00658315745197424,0.817715073065242,0.084149090589795,0.50493537442134,0.00169805408129807
17,50.5,29.011491975882,0.66371069201749,0.049705278019185,0.50366950471242,0.00196588289239761,0.64270553557318,0.0481235540410077,0.511823637201064,0.0112449285702547,0.82787725207547,0.0921587050009621,0.523959300102628,0.0106031459310704,0.627128658873208,0.0391276008577717,0.505474085897983,0.00308268816530861,0.676574584978233,0.0614474708620228,0.510646228685568,0.00599079808006439,0.816544281868076,0.0858828969538255,0.504576604657622,0.00192455416909949
18,50.5,29.011491975882,0.664713586015109,0.0491737542008306,0.503640055269165,0.0020929785897441,0.642485706174692,0.048991766423099,0.511137626469916,0.0105362835566041,0.829200132938675,0.0928323929948297,0.522186811647427,0.00869801253485672,0.628049324841384,0.0383879413673906,0.504828172915491,0.00203160012031797,0.676832168154862,0.0625736054106471,0.511118635405975,0.00773631868570192,0.816852827240831,0.0861829302191615,0.505037296963641,0.00316615725059372
19,50.5,29.011491975882,0.66556572356831,0.0487002450340624,0.503243080668768,0.00178820621597736,0.642488290079857,0.0489672223960261,0.511180745077598,0.0114916253836163,0.826881919179409,0.0916333048688862,0.522495486931818,0.00828942371521212,0.625657198521569,0.0370540875248614,0.504489026888474,0.00217536015327281,0.680353504991497,0.0632804765229807,0.522651048278019,0.00976910598442284,0.804271263007446,0.0830532522468224,0.50481244642864,0.00206444281201411
20,50.5,29.011491975882,0.665828432155557,0.0488726675811428,0.503184093877916,0.00221739047726512,0.642534678513636,0.047741952562686,0.510087126787339,0.00938660234554342,0.825780859213551,0.0892077000251253,0.520135845220993,0.00829185110015306,0.627064551664538,0.0367207050917493,0.513377602723278,0.00607337515065996,0.672963640438475,0.0598671104384222,0.510629711856942,0.00694472713164384,0.815165923217169,0.0854956675723497,0.505668095693014,0.00218021567132731
21,50.5,29.011491975882,0.666003156606789,0.0492604601419187,0.502939623935159,0.00159862895477482,0.642341605191822,0.0483042741569329,0.509547588512757,0.00907136234924752,0.82438192765481,0.0887108588098371,0.520239683415317,0.00807470172360743,0.630361217621955,0.0376869194029264,0.506726612842704,0.00291060972822927,0.674783767977878,0.0607459278627318,0.514783260088352,0.0081500967329954,0.815861520343463,0.084810072878801,0.505120675036187,0.00188753044961358
22,50.5,29.011491975882,0.666593068626061,0.0500071895907573,0.503048795314684,0.00242779468187844,0.640694262885904,0.0486383945508638,0.508945430472663,0.00939430819967427,0.824146872993505,0.0882777091317617,0.520548045678973,0.00741844457445549,0.631196061705936,0.0381271971258398,0.506683001422619,0.00309182428824257,0.674263947832206,0.0610840120267268,0.513561596746659,0.00766152594768217,0.815608586466394,0.0858036904972695,0.5052508646034,0.00203541654519128
23,50.5,29.011491975882,0.668164654976954,0.0492306867124523,0.502842205182734,0.00161180443125395,0.640293770099584,0.048652548375753,0.508106544049258,0.00875242611071933,0.824765318879129,0.0862768227132028,0.519567658302763,0.0075874958833899,0.631974244712136,0.0374862154463951,0.506701197306723,0.00325600277098439,0.673502295956388,0.0611315477474506,0.512973219881372,0.00759602859342301,0.816258000233131,0.0847757054983596,0.505130749148632,0.00228191804825891
24,50.5,29.011491975882,0.669513131156096,0.0475694979349124,0.509130151195788,0.00455067410459051,0.636248721462484,0.0470176100329361,0.503555983720771,0.00841730470911881,0.824548620006163,0.0855955746203134,0.520425829827219,0.00762859266260574,0.635673844306266,0.0358765286954856,0.506298601281076,0.0030050584359551,0.672966231828524,0.0612012142260008,0.511920223562415,0.00684947549779417,0.816319314725824,0.084753929159869,0.505810967375461,0.00247952630965083
25,50.5,29.011491975882,0.67334035658039,0.0460857719890715,0.50267471912174,0.00182093386640304,0.638292867342935,0.0485580664771612,0.519442065159144,0.012472393650385,0.823209698194851,0.0835806267303101,0.517108221865594,0.00808517367171134,0.633933300231685,0.0329756760550572,0.511902909851883,0.00471044318867569,0.669501785319445,0.0616921226397842,0.513387509064682,0.0072916310468206,0.816366735520631,0.0865366730948396,0.505021678224911,0.00242257764133037
26,50.5,29.011491975882,0.67552583426473,0.04373646073741,0.50237714035271,0.00139639003663964,0.638106979592007,0.0498454938190706,0.518860437265314,0.0115546799659555,0.823424277450601,0.0819784133706913,0.517124565282279,0.00696651140850857,0.637318229757827,0.0313272586906849,0.505262114782329,0.0020386038652956,0.672450388298538,0.0645121677029047,0.516839789818934,0.00940507142717537,0.815436216416662,0.0828799850095629,0.505842392861277,0.00290965360743149
