"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.588050151821862,0.00133498246946409,0.501056623931624,0.00171807342172523,0.576340423976608,0.00151538006157382,0.509928571428571,0.0106750926573645,0.648488095238095,0.0177393721210797,0.506887896825397,0.00960668720840003,0.566485124800914,0.00287855557079434,0.50120715857558,0.00199575787905194,0.594686079804501,0.00157712408072366,0.500579289215686,0.00146244097111291,0.660757802287582,0.00202271666217284,0.501103553921569,0.00107608583847433
2,50.5,29.011491975882,0.623758536806548,0.0174039555483336,0.501438181550251,0.00240858744392139,0.60856625433585,0.00504002265920679,0.50983908045977,0.010536794073747,0.723351164161509,0.0159890889369975,0.513684960633236,0.0122294593096143,0.595586304143682,0.0148834099856558,0.502083545427535,0.00247027827741095,0.635807354627472,0.0039653345244858,0.50284733642794,0.0045945784561157,0.733005973695845,0.00748988961661241,0.501204658488064,0.00121754056889052
3,50.5,29.011491975882,0.641096899368416,0.0253788842392308,0.500375310879596,0.000845467302462476,0.62552678184098,0.0119789192093858,0.509163914357005,0.00976865892871933,0.76448550674204,0.0223886177340986,0.516020453521269,0.0165287516677892,0.610849092023082,0.0209675383138181,0.502355387949087,0.00321141963045792,0.657565471750359,0.0130299332242914,0.505260821630275,0.00827034444155457,0.767677463684929,0.0131744677175132,0.501871989032655,0.00208589427086189
4,50.5,29.011491975882,0.653249862896238,0.0287661944696993,0.50035082065107,0.000693505039194803,0.634571295572021,0.0177094946009905,0.508240682480299,0.00867181114022793,0.778873045286055,0.0304859281269274,0.523792541022211,0.0240643843926862,0.621284438282822,0.0223537647755987,0.501377439491499,0.00210378997327859,0.672109060371301,0.020152642132205,0.506228621258631,0.00917819909508956,0.787924887887818,0.018353266387076,0.502212569399357,0.00184026366743476
5,50.5,29.011491975882,0.658503797255725,0.031691719647804,0.500414450037647,0.00190437356567437,0.64074409932259,0.0218195967408598,0.509292768672326,0.00908487608291975,0.79821734177029,0.0425861425551762,0.515697521650083,0.0140083295298136,0.627817236366701,0.0232266896923748,0.501453548260156,0.00127515616616412,0.680263787442558,0.0262040729004908,0.506305623648041,0.00871664947965905,0.797918301076784,0.0319501457731153,0.502332151183561,0.00206873443651347
6,50.5,29.011491975882,0.662108854361907,0.0365431699002309,0.502015341219281,0.00372807004382456,0.643422089023849,0.0247536790023353,0.50858771159305,0.00839627402496232,0.8081781917461,0.0562894704278567,0.515725289199173,0.0124084617672993,0.629210168984944,0.0262572829460697,0.50559125286235,0.004624680783591,0.684433977946874,0.0311304692726228,0.506276576088897,0.00796803287884922,0.805257581632321,0.0449609710261537,0.502971986799083,0.0019252719863553
7,50.5,29.011491975882,0.665147167441641,0.040735713812839,0.502355531558238,0.00400779192593439,0.646609019318249,0.0255117807391079,0.509963242854252,0.00957594353328712,0.812474726386056,0.0612071196149582,0.514706083399853,0.0113145914841503,0.630737334953599,0.0300977404962282,0.506192974165477,0.0046826319709666,0.687513462324539,0.0338473028637106,0.510358125223041,0.00744806022223793,0.81147935543422,0.0492454584301073,0.503054388324096,0.00173769374883585
8,50.5,29.011491975882,0.668471680504824,0.0444234132124742,0.500902268569931,0.00153405865888312,0.651137759437497,0.0266453188061748,0.514983805026832,0.0118750995369056,0.816791056056658,0.0619331079427743,0.514907094054858,0.0114363846422086,0.633582783625189,0.0332398745026891,0.502252454199743,0.000776934807741574,0.692696332179276,0.0351989308739745,0.513036135027294,0.00803847407908225,0.817364633201535,0.0505326927039196,0.503040658014967,0.00258181568718291
9,50.5,29.011491975882,0.668757031339252,0.0468980154587152,0.502818075630574,0.00414070914602017,0.653042458020885,0.0255037145132281,0.511501240629337,0.0117247636616292,0.819721093497394,0.0631451171117936,0.514983772345222,0.0116282384526562,0.633622177099761,0.0357507834792223,0.504065991649838,0.00390914166068799,0.694195466721939,0.0339188512807634,0.51228918376242,0.00711572070610201,0.822397720774894,0.0487357431646677,0.50309080825258,0.00157491136434035
10,50.5,29.011491975882,0.671729702209373,0.0494822287110176,0.501151375862385,0.00176255008084636,0.654520460477687,0.0254842480624164,0.516107051296797,0.0127532802145062,0.821657969902196,0.0631710516342107,0.512776025469786,0.0106770347896822,0.635192581756066,0.0372699013952872,0.502581458668921,0.0019414241390913,0.696010031281587,0.0332851235134382,0.513561366790062,0.00848687336826218,0.824572318498456,0.0476807126748919,0.503227899508325,0.00146974149322025
11,50.5,29.011491975882,0.67390242092134,0.0514188916063075,0.501100427956363,0.00181156436451267,0.65410524234877,0.0264323379463337,0.514834890948541,0.0117418087205075,0.815970842273019,0.0649865088539255,0.522348996510188,0.0168177040164943,0.636866169133242,0.039836681720246,0.502499633618102,0.00173025112207506,0.696570642428685,0.0333327998682462,0.513188248572918,0.00779203289253969,0.827215786530028,0.0464954039057863,0.503456735524265,0.00170559612507954
12,50.5,29.011491975882,0.673563554589498,0.0514790160719487,0.501689321553415,0.00230949808203932,0.65605778868448,0.0272174929042262,0.514999213427131,0.0110206886823475,0.825736255056514,0.0606014469495973,0.514278983885534,0.00769818071720177,0.638709640171632,0.0407265034610929,0.50261536997658,0.00152584496249448,0.695469284422132,0.0334191239335279,0.511754518873143,0.00673892626421345,0.824059286543783,0.0442338772085211,0.508269699543066,0.00911658732457763
13,50.5,29.011491975882,0.672817022759352,0.0515699802213622,0.50378877321532,0.0041435614344312,0.655430175166971,0.0269024525048085,0.509705495993947,0.00932953340113602,0.825774881270498,0.0583349180393831,0.515395644308227,0.0081903629910886,0.636711150594373,0.040287404435486,0.50382100259041,0.00190021450719367,0.698412611851274,0.0345584407111301,0.515238728273514,0.0119923672946175,0.823723120337038,0.0432631984167014,0.504738320654309,0.00306895939209057
14,50.5,29.011491975882,0.67235145520723,0.051987690034254,0.501589572323737,0.00224949261381405,0.656772122595578,0.026684129204446,0.514759602740895,0.0120864398799475,0.825966187195195,0.0563650572317907,0.514745206193625,0.00714823840835957,0.638331974938232,0.0412939933241862,0.506613554766872,0.00445760152418978,0.696938140630124,0.0339267320716327,0.510737668438721,0.00599830349357816,0.829693801738498,0.0434377325348403,0.504296843922002,0.00205923441359721
15,50.5,29.011491975882,0.672537412713594,0.0521595119829239,0.501490854206431,0.00210547275529713,0.656054761415819,0.0269699104642039,0.514485248997996,0.0122194496416651,0.827864958527888,0.055126484222504,0.514428140613757,0.00657826181597631,0.639285509640439,0.0409580545008666,0.504502140220118,0.00275028622466722,0.698930998527299,0.0331744360418291,0.512017677753537,0.00745027651185858,0.831208592240469,0.044397706356613,0.504464421024322,0.00253346529165225
