"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.58868311965812,0.0012002588024822,0.500456196581197,0.000529713409726309,0.576104700854701,0.00117036901799483,0.500285714285714,0.00217429243311254,0.648329365079365,0.00777908140069966,0.517404761904762,0.00811978142899551,0.568368396736818,0.00124878756344268,0.500859536662168,0.00104076169390615,0.593362880086564,0.00134883799538182,0.500254289215686,0.00137150569090363,0.661975163398693,0.0027094996899018,0.500411805555556,0.00190000153315912
2,50.5,29.011491975882,0.619569586288035,0.0291248350741641,0.50083907644758,0.000865704126931464,0.608693475791431,0.00374563912534884,0.500689544650752,0.00366701343885436,0.72659527756726,0.0139432254179837,0.516756560250095,0.00679698145994282,0.594627727035447,0.024277408166078,0.501325228999981,0.000717761391851815,0.628922604619031,0.00499027479320412,0.5007217795938,0.00290318146877565,0.731030066009605,0.0113876083900267,0.500407050090151,0.00141765502097158
3,50.5,29.011491975882,0.635015934029094,0.0453751783404731,0.500709079999465,0.000547338654071825,0.623791575477066,0.00715077371577549,0.500818513232483,0.00355637716321737,0.766915021439838,0.0200734930525275,0.516121825898656,0.0062304202469968,0.608627327360676,0.0383879534207303,0.502005768318895,0.00177772924608024,0.650378331841946,0.00677580232648943,0.500751037594446,0.00279546552915011,0.768717785132021,0.0161389132537728,0.500493241279397,0.00157003548160562
4,50.5,29.011491975882,0.643602055241698,0.0521299627475074,0.500876073707414,0.00104048996222348,0.630183493818176,0.0186713062310098,0.499991840092636,0.00514585695867349,0.782910743388204,0.0314764025980536,0.515407742168991,0.00574384730945922,0.612198632482446,0.0433862007111756,0.502194180001755,0.00131091257698478,0.659180342105057,0.0224120648100011,0.501609729494701,0.0051436590972004,0.791236604431976,0.0247772195238922,0.501176560740381,0.00150824902248656
5,50.5,29.011491975882,0.647563336222848,0.0573625801272381,0.501074303441047,0.00224496455554566,0.633561567222728,0.0261208643813765,0.501393412816556,0.00505128338140321,0.798644739014251,0.0407227358992853,0.514136512674243,0.00446456819878446,0.616275276251412,0.0480605492444056,0.503033153995812,0.00276973113382551,0.663192260471382,0.0311802248663864,0.50182414100438,0.00438026091818722,0.787768405540059,0.0332757441358602,0.514611549916286,0.00859614352568365
6,50.5,29.011491975882,0.650911375216041,0.0619154748191073,0.501013428699379,0.00169101373702306,0.636265688897223,0.0304644295718596,0.50169288695047,0.00673909902923938,0.807289860848722,0.0470601411812726,0.517214095210786,0.00530180516321579,0.616726127683339,0.050657726017364,0.505302715047264,0.00295922014528631,0.670357904336016,0.0364872270894241,0.502050789956148,0.00450738229785288,0.807103537228976,0.042211881107025,0.503908278435877,0.00246930177230826
7,50.5,29.011491975882,0.654214301385662,0.0648876850037866,0.500794895141781,0.000968780041397395,0.640017968128685,0.0319792041268178,0.501992887355003,0.00695944146173722,0.811247037264963,0.0526877394746149,0.516071268020268,0.00477998363379497,0.619695641335958,0.0521461660482646,0.505073852011235,0.00248457255676346,0.673369467807223,0.038821431930497,0.503116148689549,0.00427711868668873,0.810494806598481,0.0480200770164728,0.504308954464174,0.00282578899320697
8,50.5,29.011491975882,0.656240648749911,0.0663962830656651,0.501292111926471,0.00193373859261654,0.643299755883054,0.0325338432821765,0.503321922523538,0.00634943711977921,0.815657776695955,0.0569285059821063,0.515006145204838,0.00410805038130276,0.622698305553466,0.0536376050609698,0.505066027362603,0.00246459587391359,0.676072663271812,0.0398398664508648,0.503182061420036,0.00447188534729417,0.813945277209224,0.0526063470780755,0.505045275029067,0.00187486608720737
9,50.5,29.011491975882,0.657442406584128,0.0676820386543929,0.500990223893624,0.00109850078676366,0.646728273784081,0.0327248906624743,0.503487038625117,0.0074824458701818,0.822692237820711,0.0563655765446951,0.514711337086191,0.00425354833165478,0.623145434189904,0.0541175108133176,0.505263123129279,0.00254937821823415,0.680529545974847,0.0406865162212672,0.503050462038458,0.00453630273247264,0.817174170442223,0.0530118904062567,0.505597387442669,0.00267780235662477
