"strategy_id","step","recon.y","cyber.y","disinfo.y","comb.y","cyber2.y","disinfo2.y"
3,1,200,78,0,18,0,0
3,10,200,78,0,18,0,0
3,100,200,78,0,18,0,0
3,11,200,78,0,18,0,0
3,12,200,78,0,18,0,0
3,13,200,78,0,18,0,0
3,14,200,78,0,18,0,0
3,15,200,78,0,18,0,0
3,16,200,78,0,18,0,0
3,17,200,78,0,18,0,0
3,18,200,78,0,18,0,0
3,19,200,78,0,18,0,0
3,2,200,78,0,18,0,0
3,20,200,78,0,18,0,0
3,21,200,78,0,18,0,0
3,22,200,78,0,18,0,0
3,23,200,78,0,18,0,0
3,24,200,78,0,18,0,0
3,25,200,78,0,18,0,0
3,26,200,78,0,18,0,0
3,27,200,78,0,18,0,0
3,28,200,78,0,18,0,0
3,29,200,78,0,18,0,0
3,3,200,78,0,18,0,0
3,30,200,78,0,18,0,0
3,31,200,78,0,18,0,0
3,32,200,78,0,18,0,0
3,33,200,78,0,18,0,0
3,34,200,78,0,18,0,0
3,35,200,78,0,18,0,0
3,36,200,78,0,18,0,0
3,37,200,78,0,18,0,0
3,38,200,78,0,18,0,0
3,39,200,78,0,18,0,0
3,4,200,78,0,18,0,0
3,40,200,78,0,18,0,0
3,41,200,78,0,18,0,0
3,42,200,78,0,18,0,0
3,43,200,78,0,18,0,0
3,44,200,78,0,18,0,0
3,45,200,78,0,18,0,0
3,46,200,78,0,18,0,0
3,47,200,78,0,18,0,0
3,48,200,78,0,18,0,0
3,49,200,78,0,18,0,0
3,5,200,78,0,18,0,0
3,50,200,78,0,18,0,0
3,51,200,78,0,18,0,0
3,52,200,78,0,18,0,0
3,53,200,78,0,18,0,0
3,54,200,78,0,18,0,0
3,55,200,78,0,18,0,0
3,56,200,78,0,18,0,0
3,57,200,78,0,18,0,0
3,58,200,78,0,18,0,0
3,59,200,78,0,18,0,0
3,6,200,78,0,18,0,0
3,60,200,78,0,18,0,0
3,61,200,78,0,18,0,0
3,62,200,78,0,18,0,0
3,63,200,78,0,18,0,0
3,64,200,78,0,18,0,0
3,65,200,78,0,18,0,0
3,66,200,78,0,18,0,0
3,67,200,78,0,18,0,0
3,68,200,78,0,18,0,0
3,69,200,78,0,18,0,0
3,7,200,78,0,18,0,0
3,70,200,78,0,18,0,0
3,71,200,78,0,18,0,0
3,72,200,78,0,18,0,0
3,73,200,78,0,18,0,0
3,74,200,78,0,18,0,0
3,75,200,78,0,18,0,0
3,76,200,78,0,18,0,0
3,77,200,78,0,18,0,0
3,78,200,78,0,18,0,0
3,79,200,78,0,18,0,0
3,8,200,78,0,18,0,0
3,80,200,78,0,18,0,0
3,81,200,78,0,18,0,0
3,82,200,78,0,18,0,0
3,83,200,78,0,18,0,0
3,84,200,78,0,18,0,0
3,85,200,78,0,18,0,0
3,86,200,78,0,18,0,0
3,87,200,78,0,18,0,0
3,88,200,78,0,18,0,0
3,89,200,78,0,18,0,0
3,9,200,78,0,18,0,0
3,90,200,78,0,18,0,0
3,91,200,78,0,18,0,0
3,92,200,78,0,18,0,0
3,93,200,78,0,18,0,0
3,94,200,78,0,18,0,0
3,95,200,78,0,18,0,0
3,96,200,78,0,18,0,0
3,97,200,78,0,18,0,0
3,98,200,78,0,18,0,0
3,99,200,78,0,18,0,0
