"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.587829577147998,0.00254525916186521,0.50053825348628,0.00124755314049516,0.57713845591543,0.00260254722124369,0.50227380952381,0.00640330264412709,0.660834325396825,0.00801958799038957,0.502194444444444,0.00476397695546997,0.567416673758779,0.00261532080471766,0.501785881022723,0.00217152485851803,0.593185679606732,0.00223790950137541,0.501315550108932,0.0028958366637868,0.660117987472767,0.00408211843238939,0.501072072440087,0.00214406793819817
2,50.5,29.011491975882,0.625518337303761,0.0131129571422749,0.50065452685393,0.00144216141245734,0.609666312818365,0.0115282564374084,0.503198481116585,0.0075094829877431,0.728368487116332,0.0176846346835706,0.504235369037093,0.00691192030194055,0.595355328632416,0.0108034679070751,0.501879947863783,0.00262781522448164,0.632954649600013,0.0140262886548835,0.503756927432777,0.00490009851042907,0.727891536022013,0.0114428883431215,0.502300185564942,0.00402237479169354
3,50.5,29.011491975882,0.643751002023743,0.0224426146538072,0.501337552777558,0.0023812938501934,0.626582400451741,0.0179093571900333,0.504078370308873,0.00826003299367525,0.765061335761815,0.0235863794151873,0.505936129231553,0.00727907629858644,0.609279994185005,0.0181207421778674,0.503027228689275,0.00356623365438093,0.654334168401793,0.0215652579578852,0.50476546497044,0.00655033163340653,0.763996081751098,0.0170204120238661,0.503240067690468,0.00543526448238138
4,50.5,29.011491975882,0.65341839956112,0.0309219908690922,0.501842360669118,0.00311555639523365,0.636390819714671,0.0219906902572456,0.505972559816938,0.0100634002948727,0.783471598300023,0.0317041646510485,0.506986635793475,0.00792617853866054,0.616671778529314,0.0245498524891859,0.504072261858571,0.00442786268035422,0.666723779673067,0.0269844634078062,0.50594364724797,0.00713612821169653,0.784891218064057,0.026334304482702,0.50333250355106,0.0041222002128975
5,50.5,29.011491975882,0.659318921625746,0.037680716899087,0.501564098604616,0.00270338386156077,0.642871104089761,0.0256268606313553,0.507414207776856,0.0105673959620273,0.793330559586826,0.0429086942805931,0.508061336337014,0.00814825135337529,0.622138992840948,0.0296535238497529,0.505132630631068,0.00490831569449617,0.673667524798998,0.0316681889191532,0.507717959970584,0.00773316142112787,0.796246443889662,0.0361640585208167,0.504116555066695,0.00452077655331333
6,50.5,29.011491975882,0.662570810133742,0.0434289733690886,0.502102417957279,0.00377048752125502,0.645569217285983,0.0294056285223994,0.508576107702555,0.0113888358695223,0.798845896380586,0.0507223081590737,0.510288630242432,0.0113812418919681,0.625944663763727,0.0336850399858339,0.504467106263245,0.00451958014937249,0.678415546497806,0.0376115826108409,0.508373764947319,0.00936171646638862,0.803870032284037,0.0437878380775209,0.505508487930234,0.00534739543798929
7,50.5,29.011491975882,0.664675305985728,0.0487242093346054,0.501766723720306,0.00298508370721349,0.64744825102061,0.0340877451159396,0.510523115452753,0.0129277460375229,0.806197415342132,0.0538075655650075,0.509506045899198,0.00966190313754476,0.628228124925514,0.0376051126504942,0.50514192869889,0.00433965937733631,0.6797625792749,0.0429980741895227,0.508891426638326,0.00851735762175373,0.810195514457829,0.0466725595843499,0.50644265244035,0.00616015838479807
8,50.5,29.011491975882,0.665516401516893,0.0535864514441018,0.502258188398974,0.00324402932674356,0.648496169227255,0.0370501610047401,0.510969956616718,0.0125796208392708,0.80946725646263,0.0564571563260491,0.510688400151302,0.0105931137653632,0.629421722035281,0.0418032253337951,0.504878935178447,0.00372412956877961,0.681874091802218,0.047619358050901,0.509631328559147,0.00805032071421578,0.812886304643605,0.0506035856729799,0.506760018207567,0.00556267425383441
9,50.5,29.011491975882,0.665509926205216,0.0585170802126077,0.501958184255367,0.00295465191550425,0.650089336082571,0.0379204356401323,0.511202742670398,0.0123577670317925,0.809999826170275,0.0636458829983061,0.512179764903187,0.0115845184635413,0.630296151138792,0.0447914284635276,0.50469953693241,0.00375908798145929,0.683745963958682,0.0482438409054581,0.509180540563043,0.00827351885901324,0.813326160239078,0.0560711584534413,0.507202161222084,0.00625393664925868
