"strategy_id","step","recon.y","cyber.y","disinfo.y","comb.y","cyber2.y","disinfo2.y"
10,1,200,23,0,75,0,0
10,10,200,23,0,75,0,0
10,100,200,23,0,75,0,0
10,11,200,23,0,75,0,0
10,12,200,23,0,75,0,0
10,13,200,23,0,75,0,0
10,14,200,23,0,75,0,0
10,15,200,23,0,75,0,0
10,16,200,23,0,75,0,0
10,17,200,23,0,75,0,0
10,18,200,23,0,75,0,0
10,19,200,23,0,75,0,0
10,2,200,23,0,75,0,0
10,20,200,23,0,75,0,0
10,21,200,23,0,75,0,0
10,22,200,23,0,75,0,0
10,23,200,23,0,75,0,0
10,24,200,23,0,75,0,0
10,25,200,23,0,75,0,0
10,26,200,23,0,75,0,0
10,27,200,23,0,75,0,0
10,28,200,23,0,75,0,0
10,29,200,23,0,75,0,0
10,3,200,23,0,75,0,0
10,30,200,23,0,75,0,0
10,31,200,23,0,75,0,0
10,32,200,23,0,75,0,0
10,33,200,23,0,75,0,0
10,34,200,23,0,75,0,0
10,35,200,23,0,75,0,0
10,36,200,23,0,75,0,0
10,37,200,23,0,75,0,0
10,38,200,23,0,75,0,0
10,39,200,23,0,75,0,0
10,4,200,23,0,75,0,0
10,40,200,23,0,75,0,0
10,41,200,23,0,75,0,0
10,42,200,23,0,75,0,0
10,43,200,23,0,75,0,0
10,44,200,23,0,75,0,0
10,45,200,23,0,75,0,0
10,46,200,23,0,75,0,0
10,47,200,23,0,75,0,0
10,48,200,23,0,75,0,0
10,49,200,23,0,75,0,0
10,5,200,23,0,75,0,0
10,50,200,23,0,75,0,0
10,51,200,23,0,75,0,0
10,52,200,23,0,75,0,0
10,53,200,23,0,75,0,0
10,54,200,23,0,75,0,0
10,55,200,23,0,75,0,0
10,56,200,23,0,75,0,0
10,57,200,23,0,75,0,0
10,58,200,23,0,75,0,0
10,59,200,23,0,75,0,0
10,6,200,23,0,75,0,0
10,60,200,23,0,75,0,0
10,61,200,23,0,75,0,0
10,62,200,23,0,75,0,0
10,63,200,23,0,75,0,0
10,64,200,23,0,75,0,0
10,65,200,23,0,75,0,0
10,66,200,23,0,75,0,0
10,67,200,23,0,75,0,0
10,68,200,23,0,75,0,0
10,69,200,23,0,75,0,0
10,7,200,23,0,75,0,0
10,70,200,23,0,75,0,0
10,71,200,23,0,75,0,0
10,72,200,23,0,75,0,0
10,73,200,23,0,75,0,0
10,74,200,23,0,75,0,0
10,75,200,23,0,75,0,0
10,76,200,23,0,75,0,0
10,77,200,23,0,75,0,0
10,78,200,23,0,75,0,0
10,79,200,23,0,75,0,0
10,8,200,23,0,75,0,0
10,80,200,23,0,75,0,0
10,81,200,23,0,75,0,0
10,82,200,23,0,75,0,0
10,83,200,23,0,75,0,0
10,84,200,23,0,75,0,0
10,85,200,23,0,75,0,0
10,86,200,23,0,75,0,0
10,87,200,23,0,75,0,0
10,88,200,23,0,75,0,0
10,89,200,23,0,75,0,0
10,9,200,23,0,75,0,0
10,90,200,23,0,75,0,0
10,91,200,23,0,75,0,0
10,92,200,23,0,75,0,0
10,93,200,23,0,75,0,0
10,94,200,23,0,75,0,0
10,95,200,23,0,75,0,0
10,96,200,23,0,75,0,0
10,97,200,23,0,75,0,0
10,98,200,23,0,75,0,0
10,99,200,23,0,75,0,0
