"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.588981623931624,0.00173265333810619,0.500680128205128,0.00158746173157071,0.575590705128205,0.00168680724408466,0.500333333333333,0.000830321638142324,0.663892857142857,0.00274146249464263,0.501285714285714,0.00173946028219707,0.567285087719298,0.00173444161312789,0.50030701754386,0.00036616101313014,0.594934210526316,0.00158122853900806,0.500135416666667,0.000352080905197512,0.661802083333333,0.00186135961517469,0.500489583333333,0.000732166747910073
2,50.5,29.011491975882,0.627394660670158,0.00630175096673502,0.501203807046181,0.00206867217661987,0.607422579858986,0.00586559127999606,0.50064367816092,0.00103829976265575,0.732771599090565,0.0144821126871566,0.506050997852722,0.00638007637589775,0.59602940725173,0.00486734558851162,0.500683307172872,0.000622629002756871,0.635830793378888,0.00415757276151265,0.502163910126385,0.00461193739499878,0.729071192203672,0.0114661918733888,0.500576402974983,0.000653599255925308
3,50.5,29.011491975882,0.647662885501443,0.00787436350436064,0.501447522133213,0.00259257159445392,0.625301678206039,0.0088231697626026,0.500598601055344,0.000965644756031995,0.76888090929605,0.0226818774475325,0.509645907841257,0.00896479469313534,0.612090659313419,0.00713401140139113,0.503500930064172,0.0033910452465054,0.656126537213319,0.00652113298241253,0.500701491491799,0.000680195525464968,0.767608419788651,0.014957009612075,0.501060132548643,0.000675211919018104
4,50.5,29.011491975882,0.660509646968793,0.0094892897791274,0.500561389040551,0.000520363246067421,0.636768934237402,0.0103584277212951,0.500555387044907,0.000895986153524949,0.791927370283012,0.026840868278253,0.513319248009173,0.011165174296828,0.622167008091006,0.00797326234113823,0.50275106203795,0.00300927373554322,0.669849802966563,0.0078764499198739,0.503575376323977,0.00486013397112878,0.788694664928239,0.0178280599676713,0.501333590411249,0.000544054593154331
5,50.5,29.011491975882,0.667051345075607,0.0158725303744647,0.500721189713352,0.000537927091679261,0.644774129302787,0.0105213090968958,0.500514147119246,0.000829503365650047,0.799830091161971,0.0387510704050713,0.513100865766206,0.0107018468883058,0.624953149579731,0.0135666718302284,0.504156244194709,0.00354304799623224,0.678147430894209,0.0089868597827178,0.509810781380241,0.0126031985552543,0.791439260284674,0.0308140486061603,0.501722575711897,0.000765645052974686
6,50.5,29.011491975882,0.670070156442685,0.0230744158715986,0.502061337966989,0.00327528229811075,0.647434633435778,0.0130497064624958,0.5004749615943,0.00076632647021578,0.795370429922245,0.0591618779537047,0.521452388532912,0.0279358616670934,0.629621908930046,0.0190543897957314,0.502689648842427,0.00225795737570747,0.683788210245732,0.0128741439162127,0.508405021387297,0.0112629647543214,0.799555133075766,0.0489689070715264,0.503192051245019,0.00358197312161562
7,50.5,29.011491975882,0.671385962509925,0.028968346073114,0.504158819202777,0.00412084408245684,0.646035213517064,0.0203508118680181,0.504686569522351,0.00865792724310453,0.805062653683196,0.066410858748165,0.519223631386498,0.0198635967880364,0.631869661650923,0.0238117713600999,0.503337904370615,0.00297571100142784,0.682847886579697,0.0236541813739264,0.505867642242633,0.00594417459782326,0.806995746668789,0.0613000502277176,0.503304741245736,0.00321769881266268
8,50.5,29.011491975882,0.673613678236788,0.0329738127000546,0.503781816868321,0.00512332366213955,0.646278252438186,0.0291012325594542,0.50659012246599,0.00958935895494153,0.813405280490457,0.0738089433587364,0.516841589107658,0.00983831595731946,0.631669920164744,0.0263357432278532,0.505700920188216,0.00571230870188607,0.681346539213001,0.0350322368808923,0.508547191064503,0.00987508949262318,0.808321209101309,0.0703039834017689,0.503668695624868,0.00309065206269689
9,50.5,29.011491975882,0.675263140224378,0.0357774663994782,0.502507262339102,0.00214614685501073,0.645046780957719,0.0341591636218905,0.508503330829632,0.0108960914444971,0.80995667284656,0.0811844904206019,0.521869313560012,0.019015885183553,0.633133386193377,0.028318867437833,0.506224821274644,0.00545241509352019,0.679091026608384,0.0426754081361368,0.507123685624756,0.00741308914707988,0.812415705808443,0.0776965250926983,0.505565742566187,0.00533684337069718
